map
	ez_tower
end

value
	48.856,-74.631,-66.112,15.929,22.950,-517.600,0.000,-15.847,1.050,-34.949,0,0,1,0,0,1,
	48.860,-74.631,-66.112,15.929,22.950,-517.550,0.000,-15.847,1.050,-34.949,0,0,1,0,0,1,
	48.866,-74.949,-66.098,15.231,22.900,-517.450,0.000,-15.939,0.730,-34.911,0,0,1,0,0,1,
	48.870,-74.949,-66.098,15.231,22.900,-517.350,0.000,-15.939,0.730,-34.911,0,0,1,0,0,1,
	48.874,-74.949,-66.098,15.231,22.900,-517.300,0.000,-15.939,0.730,-34.911,0,0,1,0,0,1,
	48.879,-74.949,-66.098,15.231,22.900,-517.150,0.000,-15.939,0.730,-34.911,0,0,1,0,0,1,
	48.884,-74.949,-66.098,15.231,22.900,-517.050,0.000,-15.939,0.730,-34.911,0,0,1,0,0,1,
	48.889,-75.274,-66.090,14.535,22.900,-516.900,0.000,-16.248,0.410,-34.780,0,0,1,0,0,1,
	48.895,-75.274,-66.090,14.535,22.900,-516.750,0.000,-16.248,0.410,-34.780,0,0,1,0,0,1,
	48.898,-75.274,-66.090,14.535,22.900,-516.550,0.000,-16.248,0.410,-34.780,0,0,1,0,0,1,
	48.902,-75.274,-66.090,14.535,22.900,-516.400,0.000,-16.248,0.410,-34.780,0,0,1,0,0,1,
	48.907,-75.607,-66.088,13.843,22.900,-516.150,0.000,-16.647,0.090,-34.606,0,0,1,0,0,1,
	48.914,-75.607,-66.088,13.843,22.900,-515.750,0.000,-16.647,0.090,-34.606,0,0,1,0,0,1,
	48.918,-75.607,-66.088,13.843,22.900,-515.350,0.000,-16.647,0.090,-34.606,0,0,1,0,0,1,
	48.922,-75.607,-66.088,13.843,22.900,-515.050,0.000,-16.647,0.090,-34.606,0,0,1,0,0,1,
	48.926,-75.957,-66.092,13.159,22.900,-514.750,0.000,-17.467,-0.230,-34.224,0,0,1,0,0,1,
	48.931,-75.957,-66.092,13.159,22.950,-514.050,0.000,-17.467,-0.230,-34.224,0,0,1,0,0,1,
	48.935,-75.957,-66.092,13.159,22.950,-513.600,0.000,-17.467,-0.230,-34.224,0,0,1,0,0,1,
	48.939,-75.957,-66.092,13.159,22.950,-513.100,0.000,-17.467,-0.230,-34.224,0,0,1,0,0,1,
	48.943,-75.957,-66.092,13.159,23.000,-512.550,0.000,-17.467,-0.230,-34.224,0,0,1,0,0,1,
	48.951,-76.336,-66.103,12.490,23.050,-511.150,0.000,-18.954,-0.550,-33.452,0,0,1,0,0,1,
	48.955,-76.336,-66.103,12.490,23.050,-510.500,0.000,-18.954,-0.550,-33.452,0,0,1,0,0,1,
	48.959,-76.336,-66.103,12.490,23.100,-509.800,0.000,-18.954,-0.550,-33.452,0,0,1,0,0,1,
	48.965,-76.336,-66.103,12.490,23.150,-508.700,0.000,-18.954,-0.550,-33.452,0,0,1,0,0,1,
	48.968,-76.759,-66.121,11.848,23.150,-507.950,0.000,-21.161,-0.870,-32.110,0,0,1,0,0,1,
	48.973,-76.759,-66.121,11.848,23.200,-506.950,0.000,-21.161,-0.870,-32.110,0,0,1,0,0,1,
	48.978,-76.759,-66.121,11.848,23.250,-506.100,0.000,-21.161,-0.870,-32.110,0,0,1,0,0,1,
	48.982,-76.759,-66.121,11.848,23.300,-505.000,0.000,-21.161,-0.870,-32.110,0,0,1,0,0,1,
	48.986,-77.223,-66.145,11.234,23.300,-503.900,0.000,-23.195,-1.190,-30.686,0,0,1,0,0,1,
	48.992,-77.223,-66.145,11.234,23.350,-502.750,0.000,-23.195,-1.190,-30.686,0,0,1,0,0,1,
	48.997,-77.223,-66.145,11.234,23.450,-501.300,0.000,-23.195,-1.190,-30.686,0,0,1,0,0,1,
	49.001,-77.223,-66.145,11.234,23.500,-500.000,0.000,-23.195,-1.190,-30.686,0,0,1,0,0,1,
	49.005,-77.738,-66.175,10.663,23.600,-498.950,0.000,-25.766,-1.510,-28.529,0,0,1,0,0,1,
	49.009,-77.738,-66.175,10.663,23.650,-497.900,0.000,-25.766,-1.510,-28.529,0,0,1,0,0,1,
	49.013,-77.738,-66.175,10.663,23.750,-496.700,0.000,-25.766,-1.510,-28.529,0,0,1,0,0,1,
	49.017,-77.738,-66.175,10.663,23.800,-495.600,0.000,-25.766,-1.510,-28.529,0,0,1,0,0,1,
	49.021,-77.738,-66.175,10.663,23.900,-494.050,0.000,-25.766,-1.510,-28.529,0,0,1,0,0,1,
	49.027,-78.309,-66.211,10.150,24.000,-492.250,0.000,-28.540,-1.830,-25.661,0,0,1,0,0,1,
